,index
20611,20611
20618,20618
20673,20673
20590,20590
20645,20645
20652,20652
20633,20633
20583,20583
20666,20666
20602,20602
21547,21547
21506,21506
21651,21651
21631,21631
21537,21537
21551,21551
21603,21603
21574,21574
21522,21522
21512,21512
21586,21586
21626,21626
21597,21597
21639,21639
21531,21531
21594,21594
21654,21654
21622,21622
21523,21523
21645,21645
21615,21615
21571,21571
21513,21513
21560,21560
21641,21641
21502,21502
21614,21614
21521,21521
21608,21608
21569,21569
21628,21628
21528,21528
21596,21596
21562,21562
21577,21577
21656,21656
21634,21634
21600,21600
21538,21538
21589,21589
21517,21517
21535,21535
21564,21564
21619,21619
21652,21652
21588,21588
21640,21640
21555,21555
21646,21646
21593,21593
21632,21632
21605,21605
21546,21546
21543,21543
21516,21516
21549,21549
21609,21609
21565,21565
21567,21567
21584,21584
21582,21582
21561,21561
21595,21595
21590,21590
21498,21498
21496,21496
21554,21554
21550,21550
21558,21558
21530,21530
21580,21580
21612,21612
21503,21503
21585,21585
21514,21514
21548,21548
21583,21583
21613,21613
21579,21579
21515,21515
21524,21524
21650,21650
21511,21511
21505,21505
21604,21604
21642,21642
21576,21576
21630,21630
21553,21553
21529,21529
21557,21557
21532,21532
21541,21541
21653,21653
21635,21635
21507,21507
21657,21657
21509,21509
21599,21599
21542,21542
21610,21610
21648,21648
21618,21618
21533,21533
21540,21540
21607,21607
21598,21598
21552,21552
21637,21637
21611,21611
21504,21504
21568,21568
21519,21519
21629,21629
21625,21625
21658,21658
21649,21649
21570,21570
21539,21539
21601,21601
21497,21497
21527,21527
21602,21602
21536,21536
21624,21624
21578,21578
21501,21501
21617,21617
21581,21581
21544,21544
21643,21643
21644,21644
21647,21647
21621,21621
21573,21573
21559,21559
21587,21587
21627,21627
21636,21636
21592,21592
21563,21563
21510,21510
21534,21534
21520,21520
21591,21591
21566,21566
21526,21526
21508,21508
21499,21499
21545,21545
21572,21572
21606,21606
21556,21556
21633,21633
21616,21616
21500,21500
21518,21518
21575,21575
9966,9966
9880,9880
10016,10016
9994,9994
10030,10030
10005,10005
9995,9995
9929,9929
10045,10045
9934,9934
9922,9922
9902,9902
10007,10007
9963,9963
9926,9926
9936,9936
9912,9912
9932,9932
9909,9909
9898,9898
10042,10042
10008,10008
10004,10004
10021,10021
9887,9887
9961,9961
9928,9928
9989,9989
10018,10018
9901,9901
9999,9999
9918,9918
9931,9931
9992,9992
9892,9892
10039,10039
9905,9905
9962,9962
9960,9960
9897,9897
9886,9886
9889,9889
10034,10034
10013,10013
9958,9958
10001,10001
9987,9987
9973,9973
9938,9938
9888,9888
9970,9970
9899,9899
9913,9913
10029,10029
10022,10022
9997,9997
10011,10011
9939,9939
9893,9893
9977,9977
9952,9952
10037,10037
10035,10035
10044,10044
10012,10012
10023,10023
9948,9948
9942,9942
9976,9976
9975,9975
10019,10019
10010,10010
9955,9955
9881,9881
9953,9953
10026,10026
9985,9985
10009,10009
9924,9924
10043,10043
10049,10049
9982,9982
10036,10036
9935,9935
9981,9981
10048,10048
10033,10033
10038,10038
9983,9983
10031,10031
9978,9978
9925,9925
9923,9923
9895,9895
9919,9919
9945,9945
9883,9883
10017,10017
9990,9990
10027,10027
9891,9891
9954,9954
9988,9988
9910,9910
9971,9971
9950,9950
9904,9904
9937,9937
9933,9933
9967,9967
10041,10041
9920,9920
9921,9921
9972,9972
10025,10025
9998,9998
10032,10032
9965,9965
9986,9986
9964,9964
10002,10002
9894,9894
9957,9957
9930,9930
10000,10000
9980,9980
9896,9896
9969,9969
9979,9979
10024,10024
10050,10050
10003,10003
9947,9947
9943,9943
10046,10046
9906,9906
9974,9974
9927,9927
9993,9993
9890,9890
9940,9940
9949,9949
10020,10020
9941,9941
10006,10006
9944,9944
10014,10014
9968,9968
9915,9915
9959,9959
9885,9885
10028,10028
10047,10047
9951,9951
9908,9908
9956,9956
9917,9917
9900,9900
9884,9884
9991,9991
9882,9882
9903,9903
9996,9996
9984,9984
9916,9916
9911,9911
10040,10040
10015,10015
9907,9907
9914,9914
18508,18508
18467,18467
18528,18528
18487,18487
18517,18517
18457,18457
18553,18553
18530,18530
18481,18481
18471,18471
18464,18464
18558,18558
18479,18479
18563,18563
18534,18534
18426,18426
18434,18434
18436,18436
18495,18495
18421,18421
18562,18562
18461,18461
18441,18441
18527,18527
18570,18570
18475,18475
18414,18414
18572,18572
18433,18433
18490,18490
18462,18462
18480,18480
18561,18561
18411,18411
18559,18559
18445,18445
18491,18491
18498,18498
18415,18415
18526,18526
18420,18420
18503,18503
18536,18536
18502,18502
18568,18568
18439,18439
18506,18506
18456,18456
18521,18521
18575,18575
18483,18483
18583,18583
18493,18493
18550,18550
18499,18499
18477,18477
18519,18519
18476,18476
18547,18547
18409,18409
18541,18541
18566,18566
18557,18557
18548,18548
18472,18472
18505,18505
18569,18569
18468,18468
18551,18551
18578,18578
18518,18518
18549,18549
18438,18438
18482,18482
18524,18524
18442,18442
18463,18463
18584,18584
18573,18573
18513,18513
18512,18512
18543,18543
18533,18533
18413,18413
18496,18496
18460,18460
18567,18567
18523,18523
18459,18459
18448,18448
18515,18515
18453,18453
18419,18419
18465,18465
18577,18577
18576,18576
18466,18466
18510,18510
18571,18571
18488,18488
18522,18522
18484,18484
18423,18423
18469,18469
18494,18494
18497,18497
18552,18552
18422,18422
18455,18455
18478,18478
18473,18473
18538,18538
18500,18500
18417,18417
18516,18516
18580,18580
18535,18535
18424,18424
18529,18529
18507,18507
18486,18486
18418,18418
18492,18492
18430,18430
18582,18582
18501,18501
18429,18429
18447,18447
18531,18531
18470,18470
18560,18560
18451,18451
18432,18432
18554,18554
18565,18565
18539,18539
18542,18542
18443,18443
18581,18581
18437,18437
18412,18412
18537,18537
18532,18532
18452,18452
18425,18425
18485,18485
18579,18579
18504,18504
18545,18545
18514,18514
18556,18556
18454,18454
18489,18489
18474,18474
18555,18555
18509,18509
18450,18450
18544,18544
18428,18428
18440,18440
18427,18427
18546,18546
18416,18416
18458,18458
18435,18435
18449,18449
18574,18574
18520,18520
18444,18444
18410,18410
18564,18564
18540,18540
18525,18525
18446,18446
18431,18431
17119,17119
17123,17123
17003,17003
17078,17078
17088,17088
17007,17007
16918,16918
17104,17104
17016,17016
17061,17061
16950,16950
17021,17021
16983,16983
16996,16996
17017,17017
16939,16939
17132,17132
16919,16919
17048,17048
17116,17116
16970,16970
17049,17049
17031,17031
16933,16933
16934,16934
17093,17093
17040,17040
16944,16944
17032,17032
16917,16917
17135,17135
17094,17094
17050,17050
17035,17035
17121,17121
17085,17085
17138,17138
16979,16979
17026,17026
17097,17097
17131,17131
17095,17095
17124,17124
16914,16914
17057,17057
17051,17051
17128,17128
17113,17113
17115,17115
17054,17054
17136,17136
17110,17110
17064,17064
17038,17038
17074,17074
17045,17045
16946,16946
17120,17120
17102,17102
17041,17041
16938,16938
17075,17075
16992,16992
17060,17060
17122,17122
17086,17086
17067,17067
16981,16981
17059,17059
17004,17004
17066,17066
17105,17105
17137,17137
17140,17140
16951,16951
17023,17023
16966,16966
17126,17126
16916,16916
16930,16930
16995,16995
17034,17034
16954,16954
17011,17011
16947,16947
17084,17084
17005,17005
16952,16952
16937,16937
16948,16948
17117,17117
16993,16993
17142,17142
17098,17098
17039,17039
16945,16945
17008,17008
16957,16957
16949,16949
16982,16982
17001,17001
17083,17083
16971,16971
17024,17024
17009,17009
16987,16987
16961,16961
17127,17127
17080,17080
17068,17068
16989,16989
17108,17108
17056,17056
17077,17077
17103,17103
16926,16926
17139,17139
16922,16922
17096,17096
16975,16975
16997,16997
16953,16953
17134,17134
17052,17052
17092,17092
16962,16962
17013,17013
17112,17112
16985,16985
17125,17125
17099,17099
17089,17089
17133,17133
17020,17020
16973,16973
16927,16927
16936,16936
17036,17036
16978,16978
16960,16960
17129,17129
16974,16974
16942,16942
16941,16941
16976,16976
17062,17062
17012,17012
17114,17114
17037,17037
16925,16925
16924,16924
17002,17002
16988,16988
17106,17106
16935,16935
16963,16963
16956,16956
16928,16928
17025,17025
16929,16929
17107,17107
17000,17000
16931,16931
16969,16969
17118,17118
16932,16932
17006,17006
17065,17065
17010,17010
16972,16972
17027,17027
17130,17130
17046,17046
17109,17109
16991,16991
17141,17141
16968,16968
16913,16913
17033,17033
16999,16999
16915,16915
17042,17042
16980,16980
17028,17028
17063,17063
16986,16986
16998,16998
17076,17076
17058,17058
16923,16923
17079,17079
17111,17111
17044,17044
17053,17053
17071,17071
16994,16994
16965,16965
17015,17015
17069,17069
17047,17047
16977,16977
17081,17081
17030,17030
16955,16955
17073,17073
17091,17091
17014,17014
17087,17087
16959,16959
17018,17018
16967,16967
17070,17070
16940,16940
17029,17029
17072,17072
16920,16920
16984,16984
17022,17022
17055,17055
17100,17100
17101,17101
16964,16964
16943,16943
17019,17019
16958,16958
16921,16921
16990,16990
17043,17043
17082,17082
194,194
34,34
199,199
147,147
52,52
127,127
221,221
210,210
134,134
167,167
180,180
29,29
150,150
208,208
230,230
217,217
119,119
30,30
103,103
35,35
44,44
200,200
69,69
54,54
57,57
175,175
46,46
101,101
133,133
139,139
17,17
224,224
75,75
168,168
218,218
59,59
102,102
31,31
115,115
239,239
88,88
72,72
188,188
231,231
177,177
3,3
42,42
87,87
116,116
41,41
90,90
140,140
169,169
137,137
6,6
128,128
205,205
50,50
123,123
49,49
83,83
196,196
129,129
19,19
47,47
146,146
241,241
225,225
62,62
0,0
121,121
99,99
222,222
181,181
176,176
130,130
160,160
164,164
182,182
113,113
135,135
111,111
84,84
149,149
94,94
38,38
85,85
4,4
183,183
157,157
8,8
26,26
14,14
98,98
5,5
219,219
61,61
64,64
27,27
20,20
33,33
79,79
214,214
106,106
173,173
216,216
63,63
170,170
131,131
15,15
70,70
184,184
158,158
142,142
171,171
124,124
185,185
43,43
100,100
110,110
95,95
51,51
92,92
68,68
23,23
114,114
107,107
39,39
36,36
65,65
73,73
144,144
81,81
7,7
232,232
227,227
209,209
96,96
71,71
80,80
45,45
37,37
179,179
108,108
10,10
12,12
32,32
76,76
93,93
2,2
104,104
109,109
22,22
56,56
91,91
233,233
132,132
21,21
212,212
58,58
211,211
28,28
120,120
78,78
74,74
237,237
122,122
48,48
229,229
223,223
172,172
118,118
18,18
143,143
154,154
156,156
151,151
1,1
240,240
228,228
178,178
198,198
66,66
220,220
191,191
186,186
67,67
165,165
203,203
53,53
192,192
238,238
86,86
136,136
195,195
82,82
201,201
112,112
174,174
166,166
152,152
215,215
25,25
234,234
159,159
187,187
24,24
138,138
193,193
40,40
141,141
155,155
226,226
97,97
204,204
162,162
16,16
163,163
148,148
236,236
11,11
125,125
13,13
207,207
105,105
89,89
213,213
145,145
60,60
153,153
126,126
77,77
235,235
117,117
55,55
9,9
190,190
197,197
202,202
206,206
161,161
189,189
2579,2579
2516,2516
2501,2501
2434,2434
2559,2559
2359,2359
2518,2518
2561,2561
2583,2583
2534,2534
2564,2564
2435,2435
2361,2361
2449,2449
2420,2420
2350,2350
2508,2508
2386,2386
2346,2346
2595,2595
2408,2408
2476,2476
2388,2388
2533,2533
2412,2412
2505,2505
2425,2425
2602,2602
2554,2554
2404,2404
2393,2393
2519,2519
2571,2571
2512,2512
2527,2527
2545,2545
2447,2447
2485,2485
2375,2375
2351,2351
2450,2450
2604,2604
2380,2380
2467,2467
2497,2497
2528,2528
2546,2546
2405,2405
2349,2349
2457,2457
2403,2403
2458,2458
2445,2445
2498,2498
2480,2480
2444,2444
2503,2503
2392,2392
2483,2483
2381,2381
2605,2605
2578,2578
2585,2585
2566,2566
2448,2448
2536,2536
2414,2414
2455,2455
2495,2495
2549,2549
2441,2441
2522,2522
2541,2541
2439,2439
2360,2360
2452,2452
2487,2487
2364,2364
2499,2499
2540,2540
2442,2442
2556,2556
2589,2589
2394,2394
2436,2436
2358,2358
2596,2596
2584,2584
2531,2531
2543,2543
2379,2379
2481,2481
2348,2348
2390,2390
2493,2493
2438,2438
2574,2574
2355,2355
2471,2471
2344,2344
2569,2569
2562,2562
2387,2387
2478,2478
2432,2432
2525,2525
2453,2453
2466,2466
2357,2357
2446,2446
2473,2473
2391,2391
2598,2598
2423,2423
2558,2558
2517,2517
2406,2406
2474,2474
2369,2369
2570,2570
2548,2548
2398,2398
2417,2417
2459,2459
2407,2407
2416,2416
2366,2366
2477,2477
2456,2456
2552,2552
2582,2582
2400,2400
2504,2504
2593,2593
2347,2347
2470,2470
2507,2507
2354,2354
2550,2550
2529,2529
2409,2409
2538,2538
2372,2372
2383,2383
2532,2532
2484,2484
2389,2389
2397,2397
2576,2576
2373,2373
2515,2515
2588,2588
2464,2464
2496,2496
2422,2422
2506,2506
2586,2586
2377,2377
2399,2399
2465,2465
2486,2486
2463,2463
2492,2492
2401,2401
2367,2367
2587,2587
2592,2592
2511,2511
2514,2514
2577,2577
2488,2488
2374,2374
2362,2362
2413,2413
2523,2523
2510,2510
2513,2513
2553,2553
2370,2370
2544,2544
2509,2509
2542,2542
2431,2431
2419,2419
2500,2500
2603,2603
2594,2594
2526,2526
2429,2429
2567,2567
2565,2565
2460,2460
2601,2601
2521,2521
2410,2410
2371,2371
2572,2572
2580,2580
2395,2395
2560,2560
2547,2547
2575,2575
2537,2537
2363,2363
2345,2345
2415,2415
2418,2418
2402,2402
2462,2462
2535,2535
2440,2440
2411,2411
2378,2378
2581,2581
2424,2424
2426,2426
2600,2600
2468,2468
2451,2451
2437,2437
2555,2555
2490,2490
2384,2384
2352,2352
2524,2524
2597,2597
2591,2591
2551,2551
2563,2563
2520,2520
2461,2461
2376,2376
2494,2494
2530,2530
2475,2475
2365,2365
2356,2356
2430,2430
2428,2428
2353,2353
2382,2382
2469,2469
2396,2396
2421,2421
2343,2343
2599,2599
2573,2573
2482,2482
2443,2443
2590,2590
2472,2472
2539,2539
2502,2502
2427,2427
2489,2489
2479,2479
2491,2491
2368,2368
2557,2557
2385,2385
2454,2454
2568,2568
2433,2433
3000,3000
2905,2905
2904,2904
2947,2947
2862,2862
2851,2851
3002,3002
2789,2789
2884,2884
2812,2812
2707,2707
2724,2724
2874,2874
2748,2748
2619,2619
2830,2830
2764,2764
2714,2714
2907,2907
2766,2766
2838,2838
2727,2727
2641,2641
2645,2645
2813,2813
2772,2772
2710,2710
2937,2937
2740,2740
2842,2842
2898,2898
2790,2790
2635,2635
2859,2859
3027,3027
2744,2744
2687,2687
2683,2683
2797,2797
2751,2751
3023,3023
2704,2704
2930,2930
3014,3014
2767,2767
2885,2885
2858,2858
2929,2929
2734,2734
2698,2698
2647,2647
2638,2638
2864,2864
2617,2617
2608,2608
2781,2781
3035,3035
2622,2622
2897,2897
2715,2715
2676,2676
2923,2923
2733,2733
2806,2806
2681,2681
2697,2697
2992,2992
3018,3018
2981,2981
2752,2752
2878,2878
2927,2927
2893,2893
2876,2876
2910,2910
2950,2950
2826,2826
2799,2799
2644,2644
2712,2712
2621,2621
2900,2900
3015,3015
2988,2988
3001,3001
2915,2915
3031,3031
2694,2694
2796,2796
2946,2946
2725,2725
2879,2879
2754,2754
2718,2718
2848,2848
2943,2943
2998,2998
2616,2616
2640,2640
2702,2702
2703,2703
2728,2728
2935,2935
2958,2958
2993,2993
2753,2753
2906,2906
2856,2856
2777,2777
2872,2872
3025,3025
2699,2699
3011,3011
2794,2794
2684,2684
2918,2918
2701,2701
2678,2678
2743,2743
3024,3024
2705,2705
2938,2938
2932,2932
2669,2669
2626,2626
2783,2783
2736,2736
2968,2968
2624,2624
2760,2760
2677,2677
2771,2771
2730,2730
2805,2805
2948,2948
2778,2778
2814,2814
2782,2782
2909,2909
2919,2919
2966,2966
2973,2973
2959,2959
3008,3008
2912,2912
2680,2680
2609,2609
2802,2802
2974,2974
2614,2614
2636,2636
2664,2664
2662,2662
2953,2953
2737,2737
2857,2857
2821,2821
2726,2726
2954,2954
2746,2746
2774,2774
2995,2995
2656,2656
2657,2657
2652,2652
3039,3039
2629,2629
2661,2661
2803,2803
2688,2688
2818,2818
2928,2928
2894,2894
2807,2807
2991,2991
3016,3016
2836,2836
2742,2742
3013,3013
2820,2820
2791,2791
2996,2996
2840,2840
2615,2615
2861,2861
2713,2713
2834,2834
3021,3021
2977,2977
2633,2633
2792,2792
2606,2606
2613,2613
2788,2788
3032,3032
2798,2798
2896,2896
2692,2692
2853,2853
2899,2899
2673,2673
2976,2976
2755,2755
2679,2679
2816,2816
3029,3029
2940,2940
2882,2882
2675,2675
2769,2769
2957,2957
2945,2945
2631,2631
2921,2921
2903,2903
2628,2628
2655,2655
2639,2639
2804,2804
2913,2913
2868,2868
2952,2952
2955,2955
2611,2611
2999,2999
3017,3017
2984,2984
2649,2649
3033,3033
2924,2924
2845,2845
3038,3038
2980,2980
2867,2867
2729,2729
2822,2822
2770,2770
2970,2970
2723,2723
3030,3030
2978,2978
2949,2949
3037,3037
2793,2793
2758,2758
2847,2847
2768,2768
2634,2634
2627,2627
2901,2901
2888,2888
2819,2819
3012,3012
2750,2750
2837,2837
3019,3019
2982,2982
2666,2666
2620,2620
3026,3026
2685,2685
2732,2732
2963,2963
2670,2670
3006,3006
2829,2829
2648,2648
2801,2801
2922,2922
3036,3036
2825,2825
2784,2784
2990,2990
2810,2810
2689,2689
2916,2916
2709,2709
2877,2877
2651,2651
2960,2960
2625,2625
2873,2873
2731,2731
2759,2759
2997,2997
2846,2846
2889,2889
2756,2756
3034,3034
2691,2691
3003,3003
2653,2653
2934,2934
2855,2855
2986,2986
2979,2979
2762,2762
2956,2956
2870,2870
2835,2835
2908,2908
2650,2650
2902,2902
2765,2765
2860,2860
2739,2739
2686,2686
3022,3022
2926,2926
2722,2722
2823,2823
2824,2824
3007,3007
2944,2944
2833,2833
2785,2785
2886,2886
2939,2939
2607,2607
2883,2883
2637,2637
2682,2682
2892,2892
2663,2663
2880,2880
2623,2623
2831,2831
3010,3010
2630,2630
2706,2706
2809,2809
2741,2741
2925,2925
2721,2721
2716,2716
2917,2917
2933,2933
2795,2795
2881,2881
2987,2987
2841,2841
2887,2887
2936,2936
2646,2646
2776,2776
2654,2654
2965,2965
2843,2843
2941,2941
2971,2971
2931,2931
2671,2671
2773,2773
2672,2672
2786,2786
2696,2696
2985,2985
2775,2775
2690,2690
2827,2827
2850,2850
2735,2735
2972,2972
2942,2942
2618,2618
2854,2854
2890,2890
2700,2700
2668,2668
2761,2761
2962,2962
2994,2994
2642,2642
2763,2763
2610,2610
2832,2832
2749,2749
2871,2871
2787,2787
2895,2895
2745,2745
2828,2828
2780,2780
2951,2951
2660,2660
2658,2658
2866,2866
2800,2800
2659,2659
2643,2643
2839,2839
2757,2757
2964,2964
2817,2817
2665,2665
2852,2852
3040,3040
2863,2863
2989,2989
2875,2875
2920,2920
2720,2720
2844,2844
2719,2719
2808,2808
3020,3020
2632,2632
2983,2983
2667,2667
3004,3004
2711,2711
3028,3028
2969,2969
2717,2717
2708,2708
2674,2674
2891,2891
2779,2779
2914,2914
2967,2967
2738,2738
2849,2849
3009,3009
2975,2975
2869,2869
2961,2961
2911,2911
2811,2811
2693,2693
2695,2695
2612,2612
3005,3005
2747,2747
21209,21209
21331,21331
20707,20707
20795,20795
21275,21275
20846,20846
20854,20854
21118,21118
20958,20958
20926,20926
20947,20947
21033,21033
21236,21236
20779,20779
21256,21256
20936,20936
21055,21055
21252,21252
21304,21304
20870,20870
20998,20998
21107,21107
21025,21025
20988,20988
21262,21262
21084,21084
20913,20913
21012,21012
21196,21196
20853,20853
20807,20807
20873,20873
21024,21024
21341,21341
20869,20869
21069,21069
20711,20711
20911,20911
21321,21321
20966,20966
20770,20770
20920,20920
20838,20838
21340,21340
20725,20725
21297,21297
21240,21240
20786,20786
21349,21349
20808,20808
21000,21000
20916,20916
20935,20935
21152,21152
21093,21093
21178,21178
21212,21212
20726,20726
20788,20788
20816,20816
21248,21248
21002,21002
20741,20741
21332,21332
20827,20827
21128,21128
20831,20831
21166,21166
20927,20927
20719,20719
21305,21305
20828,20828
21100,21100
20787,20787
20842,20842
21324,21324
21192,21192
20967,20967
20809,20809
21068,21068
20839,20839
21234,21234
21017,21017
21138,21138
21144,21144
21251,21251
20766,20766
20755,20755
21051,21051
21137,21137
20732,20732
21334,21334
20763,20763
21345,21345
21257,21257
21112,21112
21181,21181
21228,21228
20810,20810
20964,20964
21299,21299
20993,20993
21300,21300
20800,20800
20922,20922
21279,21279
20883,20883
21237,21237
21101,21101
21292,21292
21230,21230
20978,20978
21306,21306
21337,21337
20825,20825
21071,21071
21210,21210
21007,21007
21194,21194
20774,20774
21143,21143
20784,20784
20855,20855
20739,20739
21067,21067
21018,21018
21215,21215
20777,20777
21294,21294
21231,21231
20802,20802
20775,20775
20796,20796
20747,20747
20896,20896
20841,20841
21218,21218
20892,20892
21162,21162
21106,21106
21307,21307
21177,21177
21274,21274
20745,20745
21206,21206
20915,20915
21347,21347
20780,20780
20804,20804
21258,21258
20955,20955
20925,20925
21348,21348
21004,21004
20723,20723
21314,21314
21169,21169
21241,21241
21029,21029
21090,21090
20903,20903
20887,20887
20811,20811
21315,21315
20867,20867
21094,21094
20722,20722
21032,21032
21284,21284
21095,21095
21211,21211
20919,20919
21202,21202
21184,21184
20849,20849
21170,21170
20968,20968
21171,21171
20753,20753
21157,21157
20716,20716
20952,20952
21154,21154
21044,21044
21296,21296
21186,21186
21019,21019
20742,20742
20767,20767
20708,20708
21270,21270
20910,20910
21083,21083
21216,21216
21198,21198
20843,20843
21142,21142
20882,20882
21207,21207
20738,20738
20970,20970
20965,20965
21130,21130
20862,20862
21056,21056
20864,20864
21013,21013
20917,20917
20941,20941
21173,21173
21016,21016
20847,20847
21259,21259
20868,20868
21242,21242
21191,21191
20871,20871
20918,20918
21087,21087
21302,21302
21346,21346
20982,20982
21289,21289
21010,21010
20769,20769
21011,21011
20987,20987
20832,20832
21122,21122
20985,20985
21079,21079
21189,21189
21109,21109
20778,20778
20727,20727
20897,20897
20865,20865
20833,20833
21176,21176
21200,21200
21097,21097
21224,21224
20720,20720
21092,21092
21344,21344
21080,21080
21082,21082
21167,21167
21220,21220
21081,21081
21026,21026
21201,21201
21054,21054
21318,21318
20886,20886
21309,21309
21043,21043
20805,20805
20929,20929
21148,21148
21072,21072
21235,21235
21276,21276
20959,20959
20768,20768
21326,21326
21050,21050
20822,20822
20743,20743
21031,21031
21060,21060
20826,20826
21057,21057
20946,20946
21238,21238
21061,21061
20709,20709
20906,20906
21312,21312
21139,21139
21311,21311
20754,20754
21005,21005
20785,20785
20863,20863
21110,21110
21320,21320
21287,21287
21039,21039
20889,20889
21244,21244
21197,21197
20712,20712
20734,20734
20890,20890
21052,21052
20799,20799
20979,20979
21015,21015
21114,21114
21074,21074
20836,20836
20901,20901
21323,21323
20981,20981
21134,21134
21119,21119
21226,21226
20790,20790
21140,21140
21047,21047
20713,20713
21070,21070
21064,21064
21327,21327
21127,21127
20900,20900
20975,20975
20894,20894
21239,21239
20974,20974
20761,20761
20999,20999
20715,20715
20773,20773
20794,20794
21268,21268
21014,21014
21313,21313
20860,20860
20824,20824
20997,20997
21282,21282
20938,20938
20756,20756
21102,21102
21040,21040
20902,20902
20948,20948
20972,20972
20874,20874
20820,20820
21091,21091
21062,21062
20928,20928
20912,20912
21249,21249
20823,20823
21232,21232
20801,20801
21217,21217
21073,21073
21153,21153
20851,20851
20962,20962
21115,21115
20844,20844
21021,21021
